From;To;Type;Through;x;y;x;y;
4549;4563;sea;2748;-1;-1;-1;-1;Bosporus-Phanagoria
3280;3284;sea;2567;-1;-1;-1;-1;Iustinianopolis-Cercina
410;277;sea;2614;-1;-1;-1;-1;Oichalia-Skyros
421;470;sea;2613;-1;-1;-1;-1;Phoinike-Korkyra
463;459;sea;2613;-1;-1;-1;-1;Thyrrheion-Leucas
459;461;sea;2612;-1;-1;-1;-1;Leucas-Kefalonia
446;460;sea;2611;-1;-1;-1;-1;Elis-Zakynthos
4060;4084;sea;2537;-1;-1;-1;-1;Tragurium-Pharus
4081;4084;sea;2537;-1;-1;-1;-1;Novae-Pharus
4032;4034;sea;2512;-1;-1;-1;-1;Curicum-Apsarus
7517;4646;sea;1489;-1;-1;-1;-1;Arsinoe-Okelis
7507;7502;sea;1485;-1;-1;-1;-1;Oreine-Alalaiou
4639;4637;sea;1484;-1;-1;-1;-1;Baitus-Devada
650;1682;sea;652;-1;-1;-1;-1;Drepanum-Rhaithou
1876;266;sea;2589;-1;-1;-1;-1;Physkos-Rhodos
3508;3506;sea;2692;-1;-1;-1;-1;Phikaria-Viniolae
7199;7202;sea;2813;-1;-1;-1;-1;Gerrha-Tylos
7202;7203;sea;2813;-1;-1;-1;-1;Tylos-Gylus
7210;4791;sea;2808;-1;-1;-1;-1;HeliosLimen-Hormirzad
6850;6845;sea;2854;-1;-1;-1;-1;Sura-Bissai
6856;6825;sea;2855;-1;-1;-1;-1;Vallai-Kanthi
6829;6842;sea;2856;-1;-1;-1;-1;Anarrta-Kaccha
3061;1347;sea;2730;-1;-1;-1;-1;Tingis-Baelo
3881;3884;sea;5841;-1;-1;-1;-1;AngliaInsula-HeruliaMeridionalis
3859;3884;sea;5842;-1;-1;-1;-1;Sardonia-HeruliaMeridionalis
3883;3886;sea;5839;-1;-1;-1;-1;ReudingiaMinores-HeruliaSeptentrionalis
3887;6003;sea;5838;-1;-1;-1;-1;HeruliaOrientalis-Scandiaaaaaaaa
6001;6004;sea;5845;-1;-1;-1;-1;Scandia-Scandia
6007;6009;sea;5848;-1;-1;-1;-1;Scandia-Scandia
2109;2208;sea;5738;-1;-1;-1;-1;Novanta-DariniaMeridionalis
2131;2132;sea;5767;-1;-1;-1;-1;OuirouedroumAkron-Orcades
2128;2129;sea;5759;-1;-1;-1;-1;Scitis-DumnaSeptentrionalis
2128;2130;sea;5759;-1;-1;-1;-1;Scitis-DumnaMeridionalis
2128;2130;sea;5759;-1;-1;-1;-1;Scitis-DumnaMeridionalis
3882;3869;sea;5839;-1;-1;-1;-1;Reudinga Maiores-Cobandia Maiores
2207;2126;sea;5740;-1;-1;-1;-1;Robogdia Orientalis-Epidion Akron
5431;2137;sea;5693;-1;-1;-1;-1;Andion-Cosedia
3874;3875;sea;6333;-1;-1;-1;-1;Teutonia Minores-Teutonia Maiores
4865;7813;sea;5852;-1;-1;-1;-1;Venedicana-Veltaea Australis
3293;3294;sea;2568;-1;-1;-1;-1;Gigthis-Tipaza
3295;3294;sea;2568;-1;-1;-1;-1;Gergis-Tipaza
464;463;sea;2613;-1;-1;-1;-1;Kassope-Thyrreion
416;7902;sea;2604;-1;-1;-1;-1;Athens-Salamis
417;7902;sea;2604;-1;-1;-1;-1;Megara-Salamis
### Nile River ###
509;7688;river_large;7673;-1;-1;-1;-1;Pilousion-Thenessos
503;507;river_large;7667;-1;-1;-1;-1;Boubastos-Leonton Polis
504;528;river_large;7676;-1;-1;-1;-1;Leontopolis-Isieion
503;504;river_large;7670;-1;-1;-1;-1;Boubastis-Leontopolis (North)
528;527;river_large;7680;-1;-1;-1;-1;Iseion-Atarbechis
513;514;river_large;7674;-1;-1;-1;-1;Athribis-Nikiou
7691;530;river_large;7683;-1;-1;-1;-1;Perseos Skope-Bolbitine
502;655;river_large;7685;-1;-1;-1;-1;Heroopolis-Serapieion
### Indus River ###
6821;6822;river_large;7693;-1;-1;-1;-1;Alexandrou Limen-Barbarikon
7660;4359;river_large;7695;-1;-1;-1;-1;Abad-Samarabriai
4364;4352;river_large;7699;-1;-1;-1;-1;Oumbrai-Roruka
4377;4371;river_large;7692;-1;-1;-1;-1;Bisambritai-Alexandreia Indos
### Ganges River ###
4440;4443;river_large;7708;-1;-1;-1;-1;Pataliputra-Nadikagama
7398;7497;river_large;7703;-1;-1;-1;-1;Kushtia-Puthia
4446;7322;river_large;7706;-1;-1;-1;-1;Campa-Purnia
7395;7356;river_large;7701;-1;-1;-1;-1;Barisal-Karmanta
7327;7337;river_large;7786;-1;-1;-1;-1;Karnasurvarna-Aganagara
7345;7336;river_large;7788;-1;-1;-1;-1;Nabadwipa-Selampoura
7397;7394;river_large;7792;-1;-1;-1;-1;Jessore-Fathabad
7493;7490;river_large;7784;-1;-1;-1;-1;Varendra-Nagarpur
7493;7359;river_large;7703;-1;-1;-1;-1;Varendra-Mukund
### Gallikos River ###
428;373;river_large;7709;-1;-1;-1;-1;Aigai-Thessalonike
### Euphrates & Tigris ###
968;937;river_large;7718;-1;-1;-1;-1;Eridu-Uruk
938;940;river_large;7711;-1;-1;-1;-1;Nina-Alexandreia Sousiane
942;971;river_large;7710;-1;-1;-1;-1;Apologos-Ampe
934;970;river_large;7712;-1;-1;-1;-1;Madhar-Kashkar
933;976;river_large;7714;-1;-1;-1;-1;Apameia Tigrei-Lawami
### Rhine River ###
3723;3699;river_large;7731;-1;-1;-1;-1;Bingium-Aquae Mattiacorum
3720;3787;river_large;7728;-1;-1;-1;-1;Bonna-Tenctheria
3714;3777;river_large;7726;-1;-1;-1;-1;Castra Vetera-Chattuaria
3849;3848;river_large;7725;-1;-1;-1;-1;Manaritum-Traiectum
### Baetis River ###
1342;1341;river_large;7665;-1;-1;-1;-1;Menesthei Limin-Tartessos
1353;1358;river_large;7771;-1;-1;-1;-1;Urgia-Olontigi
### Tagus River ###
1309;1308;river_large;7769;-1;-1;-1;-1;Vicus Carnalocensis-Aritium
1320;1317;river_large;7768;-1;-1;-1;-1;Malateca-Arabriga
### Ister River ###
4520;4521;river_large;7773;-1;-1;-1;-1;Troesmis-Nobiodounos
4246;4809;river_large;7777;-1;-1;-1;-1;Durostorum-Piephigia
4227;4267;river_large;7780;-1;-1;-1;-1;Oescus-Castris Novis
4216;4276;river_large;7781;-1;-1;-1;-1;Bononia Moesia-Castra Bistria
### Rhodanus ###
2319;2314;river_large;7846;-1;-1;-1;-1;Arelatis-Nemausus
### Flumen Anas ###
1335;1339;river_large;7862;-1;-1;-1;-1;Balsa-Praesidium
### Liger ###
2212;2211;river_large;7865;-1;-1;-1;-1;Namnetum-Ratiarum
### Sequana ###
2223;2468;river_large;7868;-1;-1;-1;-1;Esta-Caracotinum
### Borysthenes ###
4529;4530;river_large;7871;-1;-1;-1;-1;Olbia-Hippolaou
6124;7191;river_large;7871;-1;-1;-1;-1;Syti-Uttar
6143;6142;river_large;7875;-1;-1;-1;-1;Aghonor-Ghasett
6115;6117;river_large;7877;-1;-1;-1;-1;Ahgranika-Aggrat
### Tyras River ###
4525;4526;river_large;7881;-1;-1;-1;-1;Tyras-Nikonion
### Albis River ###
3837;3855;river_large;7884;-1;-1;-1;-1;Saxonnia-Mariones
3970;3893;river_large;7886;-1;-1;-1;-1;Langobardia-Avarpi
### New Islands ###
1974;220;sea;2595;-1;-1;-1;-1;Samos-Oinon Ikaros
282;283;sea;2617;-1;-1;-1;-1;Atarna-Mytilene
1884;1876;sea;2590;-1;-1;-1;-1;Phykous-Syme
1987;7936;sea;2590;-1;-1;-1;-1;Nisyros-Knidos
1987;7937;sea;2590;-1;-1;-1;-1;Telos-Knidos
1653;1970;sea;2594;-1;-1;-1;-1;Kalymnos-Kos
8015;7937;sea;2590;-1;-1;-1;-1;Kameiros-Telos
#Padus
3593;145;river_large;8030;-1;-1;-1;-1;Hatria-Corniculani
3585;3587;river_large;8033;-1;-1;-1;-1;Bedricaum-Brixellum
3582;3575;river_large;8034;-1;-1;-1;-1;Cremona-Placentia
3589;3591;river_large;8032;-1;-1;-1;-1;Hostilia-Vicus Varianus
#Thames
2022;2038;river_large;8035;-1;-1;-1;-1;Londinium-Noviomagus
#Don
6178;5884;river_large;8042;-1;-1;-1;-1;Ganka-Katys
6191;6192;river_large;8044;-1;-1;-1;-1;Khang-Syutnich
6200;6201;river_large;8045;-1;-1;-1;-1;Urvel-Agharite
#Volga
5877;8050;river_large;8047;-1;-1;-1;-1;Enim-Sechtra
6225;5905;river_large;8048;-1;-1;-1;-1;Monok-Iska
#Iberus
1012;1239;river_large;8037;-1;-1;-1;-1;Dertosa-Indiblis
#Issa
8026;4084;sea;2537;-1;-1;-1;-1;Issa-Pharos
8027;4084;sea;2537;-1;-1;-1;-1;Korkya Melaina-Pharos
#Pyramus
1881;1879;river_large;8028;-1;-1;-1;-1;Mallos-Aigaiai
#Kissa
4052;4049;sea;2512;-1;-1;-1;-1;Cissa-Vegium
### Jiang River ###
8976;8972;river_large;9222;-1;-1;-1;-1;Ying-Gaocheng
8559;9076;river_large;9232;-1;-1;-1;-1;Tang-Moling
9067;9655;river_large;9231;-1;-1;-1;-1;Xiangan-Yuanling
9065;9074;river_large;9230;-1;-1;-1;-1;Songyang-Lingyang
9068;9126;river_large;9228;-1;-1;-1;-1;Chaisang-Xunyang
8997;8994;river_large;9226;-1;-1;-1;-1;E-Anlu
### Yu River ###
9141;9159;river_large;9242;-1;-1;-1;-1;Sihui-Xinning
### He River ###
8694;8445;river_large;9237;-1;-1;-1;-1;Beiqiu-Liaocheng
8669;8435;river_large;9235;-1;-1;-1;-1;Zhenglu-Puyang
8372;8436;river_large;9234;-1;-1;-1;-1;Ji-Yan
8367;8385;river_large;9233;-1;-1;-1;-1;Huai-Xingyang
8379;8377;river_large;9233;-1;-1;-1;-1;Chengzhou-Heyang
8488;8702;river_large;9238;-1;-1;-1;-1;Pingyuan-Guanjin
8718;8721;river_large;9239;-1;-1;-1;-1;Fuyang-Zhongyi
8438;8439;river_large;9236;-1;-1;-1;-1;Lechang-Pingyi
### ACB seas ###
9093;9090;sea;9261;-1;-1;-1;-1;Yongjudong-Juzhang
9169;9212;sea;9269;-1;-1;-1;-1;Xuwen-Shendu
9691;9320;sea;9349;-1;-1;-1;-1;Fumi-Ana
9694;9749;sea;9350;-1;-1;-1;-1;Himuka-Iya
9745;9318;sea;9352;-1;-1;-1;-1;Wanasana-Awaji
9734;9318;sea;9351;-1;-1;-1;-1;Hari-Awaji
-1;-1;;-1;-1
